Event Name,Country,Subnational,Metro Area,Venue Name,Address,Frequency,When,Type,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Twitter,Bluesky,Discord,Facebook,Instagram,Website / Startgg / Linktree / Etc,Email,Twitch1,Twitch2,YouTube,Other Notes,Status,Added,Last Update
Tender Loving Cancels,UK,England,Durham,Teaching and Learning Centre,"South Rd, Durham DH1 3LS",Every 2 Weeks,Saturday,Tournament,SF6,GGST,,,,,,,,,DUEG_FG,,Durham University Esports and Gaming,,,https://www.start.gg/hub/durham-university-fighting-games,,durhamesports,,,Venue open from 4PM to 9PM,Active,2024.0118,2024.0118
Guildford FGC Weeklies,UK,England,Guildford,The George Abbott Pub,"7-11 High St, Guildford GU2 4AB, UK",Weekly,Monday,Casuals,GBVSR,Tekken,GGST,,,,,,,,,GuildfordFGC,Guildford FGC,,,,,,,,,Active,2024.1214,2024.1214
Battle by the Wey,UK,England,Guildford,The Stoke Pub,"103 Stoke Rd, Guildford GU1 4JN, UK",Monthly,Sunday,Tournament,GBVSR,Tekken,GGST,,,,,,,,,GuildfordFGC,Guildford FGC,,,,,,,,,Active,2024.1214,2024.1214
Sunday Face Off,UK,England,Leeds,Belgrave Music Hall and Canteen,"Cross Belgrave St, Leeds LS2 8JP",Monthly,Sunday,Tournament,SF6,Tekken,GBVSR,GGST,,,,,,,SundayFaceOff,,,,,,,SFOTV,,,,Active,2024.0118,2024.0118
Sunday Face Off Casuals,UK,England,Leeds,Pixel Bar Leeds,"25 Great George St, Leeds LS1 3AL",Weekly,Wednesday,Casuals,SF6,Tekken,GBVSR,GGST,,,,,,,SundayFaceOff,,,,,,,SFOTV,,,,Active,2024.0118,2024.0118
MerseyBeats,UK,England,Liverpool,LevelTap eSports Bar,"45 Hanover Street, Liverpool L1 3DN",Weekly,Thursday,Casuals,SF6,Tekken,GGST,GGXrd,GBVSR,UNI,BBCF,SamSho,Various,,MerseysideFGC,,Mersey FGC,,,https://linktr.ee/mfgc,,MerseysideFGC,,MerseysideFGC,Games change every week; no entry fee for casuals,Active,2024.0118,2024.0118
Merseyside FGC Monthly,UK,England,Liverpool,LevelTap eSports Bar,"45 Hanover Street, Liverpool L1 3DN",Monthly,Saturday,Tournament,SF6,Tekken,GGST,GGXrd,GBVSR,UNI,BBCF,SamSho,Various,,MerseysideFGC,,Mersey FGC,,,https://linktr.ee/mfgc,,MerseysideFGC,,MerseysideFGC,Games change every week; no entry fee for casuals,Active,2024.0118,2024.0118
The Fight Lab,UK,England,London,Meltdown London,"342 Caledonian Rd, London N1 1BB",Weekly,Tuesday,Tournament,Tekken,SF6,GGST,Various,,,,,,,Fight_Lab,,FightLab Brighton/London FGC,,,https://fightlab.gg/,,FightLab,,The Fight Lab UK,,Active,2024.0118,2024.0118
Fight Series,UK,England,Manchester,Pixel Bar Manchester,"10 Thomas St, Manchester M4 1DH, UK",Monthly,Varies,Tournament,Tekken,SF6,GGST,Various,,,,,,,MBA_GAMING,,Manchester Battle Arena,,,,mbagaming8@gmail.com,MBA_GAMING,,MBA Gaming,"One game per month; day depends on venue availability, check links",Active,2024.0120,2024.0120
Manchester Battle Arena,UK,England,Manchester,Pixel Bar Manchester,"10 Thomas St, Manchester M4 1DH, UK",Weekly,Monday,Casuals,SF6,Tekken,GGST,SC6,Various,,,,,,MBA_GAMING,,Manchester Battle Arena,,,,mbagaming8@gmail.com,MBA_GAMING,,MBA Gaming,Free entry for casuals,Active,2024.0120,2024.0120
Newcastle Fight Club,UK,England,Newcastle,Pacific House,"12-22 Northumberland Rd, Newcastle upon Tyne NE1 8JF",Every 2 Months,Sunday,Tournament,SF6,MK1,Various,,,,,,,,NewcastleFGC,,Newcastle Fight Club,Newcastle Fight Club,,,,,,,,Active,2024.0118,2024.0118
Albion Games,UK,England,Norwich,Albion Games Cafe,"21 St Benedicts St, Norwich NR2 4PF",Weekly,Monday,Casuals,SSBU,SF6,Various,,,,,,,,GPtheTO,,Albion Games Cafe,,,https://www.albiongamescafe.com/events,,,,,,Active,2024.0118,2024.0118
NeoMax,UK,England,Nottingham,The Barley Twist,"91 Carrington St., Nottingham NG1 7FE",Every 2 Weeks,Tuesday,Tournament,SSBU,SSBM,GGST,SF6,,,,,,,MaxCancelSSB,,,Max Cancel,,start.gg/neomax,maxcancelssb@gmail.com,,,,GGST & SF6 alternate between each other,Active,2024.0118,2024.0118
Steel City Clash,UK,England,Sheffield,Extra Time Sports Bar & Grill,"60 Brown St, Sheffield City Centre, Sheffield S1 2BS",Weekly,Wednesday,Casuals,Various,,,,,,,,,,,,Steel City Clash,,,,,,,,,Active,2025.0114,2025.0114
Battle in the South,UK,England,South Hampshire,Guildhall Village,"25 Guildhall Walk, Portsmouth PO1 2RY, UK",Every 2 Months,Sunday,Tournament,SF6,Tekken,3S,VF5,,,,,,,,nukicola,Battle In The South,,,https://www.start.gg/tournament/battle-in-the-south-03/details,robertyoung746@gmail.com,,,,,Active,2024.1214,2024.1214
Reset Aberdeen,UK,Scotland,Aberdeen,Love Rara,"12-14 Justice St, Aberdeen AB11 5HR",Weekly,Sunday,Casuals,SF6,Tekken,SSBU,Anime Etc,,,,,,,resetaberdeen,,RESET Aberdeen,Reset Aberdeen,ResetAberdeen,https://linktr.ee/resetaberdeen,,ResetAberdeen,,Reset Aberdeen,,Active,2024.0118,2024.0118
Giant Attack,UK,Scotland,Dundee,The Old Bank Bar,"34 Reform St, Dundee DD1 1RJ",Weekly,Monday,Tournament,GBVSR,GGST,SF6,UNI,Tekken,,,,,,GiantAttack,,Giant Attack Dundee,,,,,,,,Games rotate,Active,2024.0118,2024.0118
Rushdown Edinburgh,UK,Scotland,Edinburgh,The Outhouse,"12A Broughton St Ln, Edinburgh EH1 3LY, UK",Weekly,Monday,Tournament,SF6,Tekken,Retro,Various,,,,,,,RushdownEdin,RushdownEdinburgh,,,,,Rushdown.edinburgh.v2@gmail.com,RDE_RushdownEdinburgh,,,,Active,2024.0118,2024.1212
Burn to Fight Glasgow,UK,Scotland,Glasgow,West End Games,"162 Queen Margaret Dr, Glasgow G20 8NX",Weekly,Thursday,Tournament,SF6,Tekken,GBVSR,Various,,,,,,,B2FGlasgow,,Burn to Fight Glasgow,,,,,BurnToFightGlasgow,,,,Active,2024.0118,2024.0118
Caledonian Clash,UK,Scotland,Inverness,Caledonian,"9 High St, Inverness IV1 1HY, UK",Weekly,Monday,Tournament,SF6,Tekken,Various,,,,,,,,CaledonianClash,,Caledonian Clash,,,,,,,,,Active,2024.1214,2024.1214
Battle Lounge Fife,UK,Scotland,Kirkcaldy,The Hive LGBTQ+ Centre,"10 Whytescauseway, Kirkcaldy KY1 1XF",Weekly,Thursday,Tournament,SF6,Tekken,KI,GGST,Retro,,,,,,BLF_FGC,Battle Lounge Fife,Battle Lounge Fife,,,,,battleloungefife,,,,Active,2024.0118,2024.1213
Odesa Local FGC,Ukraine,Odessa,Odessa,Unknown,"Odessa, Ukraine",Unknown,Unknown,Tournament,GGST,Tekken,SF6,,,,,,,,fgcodesa,,Odesa_FGC,odesa_fgc (Telegram),,,,,,,Contact for address,Active,2024.0118,2024.0118
NCA Live,USA,Alabama,Auburn,Various,"Auburn, Alabama",See Notes,Saturday,Tournament,Tekken,MK1,GGST,SF6,Various,,,,,,NCALiveFGC,,,,,https://newchallengerapproaching.org/,Newchallengerapproachingfgc@gmail.com,,,,Contact for address; frequency varies,Active,2024.0118,2024.1224
Heavy Kickback,USA,Alabama,Birmingham,The Basement,"Birmingham, Alabama",Monthly,Saturday,Tournament,SF6,GGST,BBCF,MK1,UNI,Tekken,,,,,AVectorSpecter,,B'ham FGC,,,,AVectorSpecter@gmail.com,VectorSpecter,,,Contact for address,Active,2024.0118,2024.0118
Area256,USA,Alabama,Huntsville,DiVRGence,"3015 Governors Dr SW, Huntsville, AL 35805",Weekly,Thursday,Tournament,SF6,Tekken,GGST,UNI,GBVSR,,,,,,Area256FGC,,Area 256 FGC,,,https://linktr.ee/area256fgc,,,,Area 256 FGC,,Active,2024.1212,2024.1212
Versus Huntsville,USA,Alabama,Huntsville,University of Alabama Hunstville,"1410 Ben Graves Dr NW, Huntsville, AL 35816",Monthly,Saturday,Tournament,SSBU,SSBM,GGST,SF6,Rivals,P+,Mystery,,,,,,,Versus Huntsville,,,nblatham@outlook.com,AlabamaSmashLeague,ChargerSmash,Charger Smash,,Active,2024.0118,2024.0118
Monday Night Combat,USA,Alaska,Anchorage,Thai Kitchen,"3421 E Tudor Rd #A, Anchorage, AK 99507",Every 2 Weeks,Monday,Tournament,GGST,GBVSR,Tekken,SF6,,,,,,,,,AKG: AlaskaGamers,Alaska Gamers,,https://alaskagamers.com/,,,,,,Active,2024.0118,2024.0118
Reignited,USA,Arizona,Phoenix,Arizona State University,"Education Lecture Hall, 100 E Gammage Pkwy, Tempe, AZ 85281",Weekly,Friday,Tournament,SF6,Tekken,GGST,BBCF,Various,,,,,,,,AZ Airdashers,,,,,,,,Weekly when ASU is in session; contact Arconi on AZ Airdashers Discord,Active,2024.0610,2024.0610
MKO Free Casuals Day,USA,Arizona,Phoenix,MK Tech Center,"7300 W Boston St, Chandler, AZ 85226",Every 2 Weeks,Saturday,Casuals,Tekken,SF6,GGST,GBVSR,UNI,,,,,,,,AZ Airdashers / WGP's AZ Tekken Discord,,,,gatts@mechanicalkeyboards.com,,,,Alternates weeks with the tournament version,Active,2024.0610,2024.0610
MKO!,USA,Arizona,Phoenix,MK Tech Center,"7300 W Boston St, Chandler, AZ 85226",Every 2 Weeks,Saturday,Tournament,Tekken,SF6,GGST,GBVSR,UNI,,,,,,,,AZ Airdashers / WGP's AZ Tekken Discord,,,,gatts@mechanicalkeyboards.com,,,,Alternates weeks with the casuals version,Active,2024.0610,2024.0610
Phoenix Locals,USA,Arizona,Phoenix,The Gaming Zone,"930 W Broadway Rd #5, Tempe, AZ 85282",Weekly,Friday,Casuals,SF6,Tekken,Various,,,,,,,,TheXButton,,,,,,TheXButton@gmail.com,TheXButton,,,,Active,2024.0118,2024.0118
Secret Lab,USA,Arizona,Phoenix,The Gaming Zone,"930 W Broadway Rd #5, Tempe, AZ 85282",Monthly,Saturday,Tournament,SF6,,,,,,,,,,TheXButton,,,,,,TheXButton@gmail.com,TheXButton,,,,Active,2024.0118,2024.0118
AZ Airdashers Potluck,USA,Arizona,Phoenix,The Gaming Zone Glendale,"10040 N 43rd Ave #1k, Glendale, AZ 85302",Quarterly,Saturday,Casuals,Various,Mystery,,,,,,,,,,,AZ Airdashers,,,,,,,,Contact @kenja in the AZ Airdashers Discord,Active,2024.0610,2024.1212
Tucson Locals,USA,Arizona,Tucson,Tuscon Police Department,"1100 S Alvernon Way, Tucson, AZ 85713",Weekly,Friday,Casuals,Tekken,SF6,Various,,,,,,,,,,Tucson Tekken,Tucson AZ FGC,,,,,,,,Active,2024.0118,2024.0118
Bears by the Maul Gaming Lounge,USA,Arkansas,Fayetteville,Bears by the Maul Gaming Lounge,"6302 Wilkerson St, Fayetteville, AR 72704",Weekly,Wednesday,Casuals,Tekken,UNI,,,,,,,,,cdb,,,,,,shaundude@hotmail.com,,,,,Active,2024.0118,2024.0118
Southside Dojo,USA,Arkansas,Little Rock,The Batcave,"2125 Harkrider St, Conway, AR 72032",Monthly,Saturday,Tournament,SF6,GBVSR,GGST,DBFZ,UNI,,,,,,ArkFighters,,ARKFighters,Arkansas FG Network,,http://www.arkfighters.com/,bmg.badmangaming@gmail.com,ARKFighters,,,,Active,2024.0118,2024.0118
MADHouse,USA,California,Bay Area,Cartridge Cartel,"43134 Christy St, Fremont, CA 94538",Weekly,Thursday,Tournament,SF6,MK1,,,,,,,,,Bay Area MADHouse,,MADHouse,,,,bayareamadhouse@gmail.com,BayAreaMADHouse,,Bay Area MADHouse,,Active,2024.0118,2024.0118
SlugFest,USA,California,Bay Area,Euphnet Cyber Cafe,612 S. Mary Ave Sunnyvale California 94087,Weekly,Wednesday,Tournament,SF6,,,,,,,,,,Capsule_Ent,,Euphnet Cyber Cafe,Capsule Entertainment,Capsule_Entertainment,,,CapsuleEntertainment,,,,Active,2024.0118,2024.0118
Tech City Tekken,USA,California,Bay Area,Euphnet Cyber Cafe,612 S. Mary Ave Sunnyvale California 94087,Weekly,Thursday,Tournament,Tekken,,,,,,,,,,Euphnet,,Euphnet Cyber Cafe,,,https://linktr.ee/euphnet,,CapsuleEntertainment,,,,Active,2024.0118,2024.0118
Versus Reborn,USA,California,Bay Area,Euphnet Cyber Cafe,612 S. Mary Ave Sunnyvale California 94087,Weekly,Tuesday,Tournament,SSBU,,,,,,,,,,Euphnet,,Euphnet Cyber Cafe,,,https://linktr.ee/euphnet,,CapsuleEntertainment,,,,Active,2024.0118,2024.0118
Caliburst,USA,California,Bay Area,Gamecenter,"575 Mountain View Ave., Belmont, CA",Monthly,Saturday,Tournament,GGXrd,Skullgirls,,,,,,,,,pattheflip,,,,,,,pattheflip,,,,Active,2024.0118,2024.0118
NorCal Dogfight,USA,California,Bay Area,Gamecenter,"575 Mountain View Ave., Belmont, CA",Monthly,Saturday,Tournament,UNI,GBVSR,GGXXACR,GGST,Anime Etc,,,,,,norcaldogfight,,Norcal AFGC,,,start.gg/ncd,kazmadan@gmail.com,NorcalDogfight,,NorcalDogfight,,Active,2024.0118,2024.0118
Guildhouse Esports Thursday,USA,California,Bay Area,Guildhouse,"420 First St, San Jose, CA 95113",Weekly,Thursday,Tournament,SF6,SSBM,,,,,,,,,guildhousesj,,,Guildhouse,Guildhouse,https://www.guildhouse.gg/,,,,Guildhouse,,Active,2024.0118,2025.0315
Guildhouse Esports Wednesday,USA,California,Bay Area,Guildhouse,"420 First St, San Jose, CA 95113",Weekly,Wednesday,Tournament,GGST,SSBU,,,,,,,,,guildhousesj,,,Guildhouse,Guildhouse,https://www.guildhouse.gg/,,,,Guildhouse,,Active,2024.0118,2025.0315
NorCalibur,USA,California,Bay Area,Guildhouse,"420 First St, San Jose, CA 95113",Weekly,Saturday,Casuals,SC6,,,,,,,,,,NorCalibur,,,,,,,Bigpapachunk,,,,Active,2024.0118,2025.0315
Astral Beatdown,USA,California,Bay Area,Magitek Games,"1122 Cadillac Ct, Milpitas, CA 95035",Monthly,Saturday,Tournament,GBVSR,BBCF,MBTL,Various,,,,,,,NorcalGBVS,,Norcal AFGC,Magitek Games,,start.gg/astral,,NorcalGranblue,,,2nd Saturday,Active,2024.1118,2024.1212
King's Cup,USA,California,Bay Area,The Foundry,"1425 Folsom St, San Francisco, CA 94103",Monthly,Friday,Tournament,SF6,GGST,GBVSR,MK1,KOFXV,,,,,,KingsCupSF  TheFoundrySF,,,King's Cup,KingsCupSF,smash.gg/kingscup,kingscup.fgc@gmail.com,,,,,Active,2024.0118,2024.0118
(S)Mashup Sunday,USA,California,High Desert,AV Underground,"1016 E Lancaster Blvd, Lancaster, CA 93535",Every 2 Weeks,Sunday,Tournament,SSBU,,,,,,,,,,FGCAVU,,AV Underground,A.V. Underground,Antelope Valley Underground,https://linktr.ee/avunderground,antelopevalleyunderground@gmail.com,AVUnderground,AVTekkenUnderground,AV Tekken Underground AV Underground,,Active,2024.0610,2024.0610
Flashkick Friday,USA,California,High Desert,AV Underground,"1016 E Lancaster Blvd, Lancaster, CA 93535",Weekly,Friday,Tournament,Tekken,SF6,KOFXV,GGST,GBVSR,MK1,UNI,,,,FGCAVU,,AV Underground,A.V. Underground,Antelope Valley Underground,https://linktr.ee/avunderground,antelopevalleyunderground@gmail.com,AVUnderground,AVTekkenUnderground,AV Tekken Underground AV Underground,,Active,2024.0211,2024.0211
Game Play Monthlies,USA,California,High Desert,Gameplay,"2520 E Palmdale Blvd suite G-22, Palmdale, CA 93550",Monthly,Saturday,Tournament,Tekken,SSBU,SF6,MK1,KOFXV,GBVSR,GGST,UNI,,,FGCAVU,,AV Underground,AVTekkenUnderground,AVUnderground,AVUnderground / Startgg Signup Page,antelopevalleyunderground@gmail.com,AVTekkenUnderground,AVUnderground,,,Active,2024.0610,2024.0610
Super Smashdown,USA,California,High Desert,LineBreakers,"15491 7th St, Victorville, CA 92395, USA",Monthly,Sunday,Tournament,SSBU,HDR,,,,,,,,,team_smash_hd,,Team Smash,,Team Smash,https://linktr.ee/Team_Smash_HD,teamsmash1223@gmail.com,Team Smash 2,,Team Smash HD,First Sunday of every month,Active,2024.0219,2024.0219
High Desert Fury,USA,California,High Desert,Not An Arcade,"17153 Bear Valley Rd suite1, Hesperia, CA 92345",Weekly,Thursday,Tournament,MK1,SF6,Tekken,,,,,,,,KombatStreetHD,,Saino's FGC Hub!,,,,,,,,,Active,2024.0215,2024.0215
Tuesday Throwdown,USA,California,High Desert,Not An Arcade,"17153 Bear Valley Rd suite1, Hesperia, CA 92345",Weekly,Tuesday,Tournament,SSBU,Various,,,,,,,,,SoySaino,,Saino's FGC Hub!,,,,soysaino16@gmail.com,,,,,Active,2024.0215,2024.0215
Bonus Fruit Brawl,USA,California,High Desert,Seven's Goods,"15885 Main St Unit 130, Hesperia, CA 92345",Weekly,Monday,Tournament,SSBU,,,,,,,,,,hidesertesports,,High Desert eSports,,,https://linktr.ee/highdesertesports,highdesertesports@gmail.com,High_Desert_Esports,High_Desert_Esports_2,High Desert eSports,,Active,2024.0118,2024.0118
Chains of Fate Monthly,USA,California,Orange County,"Requiem: Coffee, Tea, and Fantasy","280 S Clementine St., Anaheim, CA 92805",Monthly,Sunday,Tournament,Tekken,,,,,,,,,,,,,,,https://start.gg/cofmonthly,,SoCal_Suma,,SoCalSUMA,,Active,2024.0118,2024.0610
Conflux Gaming,USA,California,Palm Springs,Conflux Gaming,"68960 E Palm Canyon Dr, Cathedral City, CA 92234",Weekly,Wednesday,Tournament,SSBU,SF6,MK1,GGST,,,,,,,ConfluxGaming,,Conflux Gaming,Conflux Gaming,Conflux Gaming,https://www.confluxgaming.com/,info@confluxgaming.com,ConfluxGaming,,Conflux Gaming,,Active,2024.0118,2024.0118
Fire & Ice Games,USA,California,Sacramento,Fire & Ice Games,"6660 Lonetree Blvd, Rocklin, CA 95765",Every 2 Weeks,Friday,Tournament,SF6,GGST,SSBU,SSBM,P+,SSB64,,,,,SacUltEvents,,Sacramento Ultimate Events,,,,,Almacon,SacUltEvents  sacultevents2,,,Active,2024.0118,2024.0118
Tag Battle,USA,California,Sacramento,Innogrove Coworking,"8153 Elk Grove Blvd, Elk Grove, CA 95758",Monthly,Saturday,Tournament,GGXrd,GGST,GBVSR,UNI,BBCF,DFCI,Various,,,,TagInBattle,,Tag In Battle,,,start.gg/taginbattle,,juicer5024,,,4th Saturday,Active,2024.0118,2024.0118
Ride of the Valkyries,USA,California,Sacramento,Valhallan eSports Training,"187 Blue Ravine Rd Suite 12, Folsom, CA 95630, USA",Every 2 Weeks,Saturday,Tournament,SF6,Tekken,,,,,,,,,Dospewoner,,,,,start.gg/RoTV,,vhsfm,,dospe,,Active,2025.0102,2025.0102
FGC at UCLA,USA,California,SoCal,Ackerman 3508 & Ackerman 2408,"308 Westwood Plaza, Los Angeles, CA 90024",Weekly,Friday,Tournament,GBVSR,SF6,Tekken,UNI,KOFXV,MBAACC,GGST,Mystery,Various,,,,FGC at UCLA,,,,,,,,"Games list changes, see discord",Active,2024.0118,2024.0118
Battle Garden,USA,California,SoCal,ArcadeShock,"227 E Compton Blvd, Gardena, CA 90248",Unknown,Saturday,Tournament,SF6,,,,,,,,,,BurnMeter,,,,,,,nonimeg,,,,Active,2024.0118,2024.0118
Down Back Tuesdays,USA,California,SoCal,Arrow Lodge Brewing,"950 E 3rd St #1A, Los Angeles, CA 90013",Every 2 Weeks,Tuesday,Tournament,SF6,Tekken,,,,,,,,,DownBackClub,,,,DownBackClub,https://linktr.ee/downbackclub,,DownBackClub,,,,Active,2024.0118,2024.0118
Thirsty Thursday Casuals 21+,USA,California,SoCal,BarcodeOC,12926 Main St. Garden Grove CA 92840,Weekly,Thursday,Casuals,SF6,3S,Retro,,,,,,,,BarcodeOC,,,Barcode,Barcode.oc,https://www.barcodegg.com/,,,,,,Active,2024.0118,2024.0118
ELA Battles: Square-UP!,USA,California,SoCal,BYO Games,"3555 1st St, Los Angeles, CA 90063",Weekly,Saturday,Tournament,SF6,,,,,,,,,,BYOGAMES_ELA,,BYOG_ELA,,,start.gg/sqrup,,,,,,Active,2024.0118,2024.0118
Cal Poly Pomona FGC Casuals,USA,California,SoCal,Cal Poly Pomona,"3801 W Temple Ave, Pomona, CA 91768 | Bldg. 35",Every 2 Weeks,Monday,Casuals,SF6,GGST,Tekken,GBVSR,DBFZ,Various,,,,,CPPFGC,,Cal Poly Pomona FGC,,,https://linktr.ee/cppfgc,socalcollegiatefgc@gmail.com,,,Cal Poly Pomona FGC,,Active,2024.0119,2024.0119
FragFest,USA,California,SoCal,Cal Poly Pomona,"3801 W Temple Ave, Pomona, CA 91768 | Bldg. 35",Every 6 Months,Varies,Tournament,SF6,GGST,Tekken,GBVSR,DBFZ,Various,,,,,CPPFGC,,Cal Poly Pomona FGC,,,https://linktr.ee/cppfgc,socalcollegiatefgc@gmail.com,,,Cal Poly Pomona FGC,"Happens once per semester, look to social links for more info",Active,2024.0119,2024.0119
Inferno,USA,California,SoCal,CAPS Media Center,"65 Day Rd, Ventura, CA 93003",Monthly,Friday,Tournament,Tekken,GGST,SF6,USF4,,,,,,,TFunFlame,,FunFlame Tournaments,,tfunflame,,,,,Funflame Tournaments,,Active,2024.1212,2024.1212
Chop Chop Throwdown,USA,California,SoCal,Chop Chop Chicken,"2201 S Atlantic Blvd, Monterey Park, CA 91754, USA",Monthly,Sunday,Tournament,SF6,,,,,,,,,,BracketDemonsGG,BracketDemons,,,,https://allmylinks.com/bracketdemons,,BracketDemons,,Bracket Demons,,Active,2024.1212,2024.1212
SoCal Colosseum,USA,California,SoCal,Cooper’s ESports Gaming Center,2700 Alton Parkway Irvine California 92606,Monthly,Saturday,Tournament,SF6,GGST,Tekken,KOFXV,GBVSR,UNI,,,,,ContenderFGC,,Contender Colosseum,,,https://linktr.ee/contendercolosseum,socalfgcvods@gmail.com,ZiggyBoggy,,SocalFGCVods,Games list changes each month,Active,2024.0118,2024.1212
SoCal Colosseum,USA,California,SoCal,Cooper’s ESports Gaming Center,2700 Alton Parkway Irvine California 92606,Weekly,Friday,Tournament,SF6,GGST,Tekken,GBVSR,UNI,,,,,,ContenderFGC,,Contender Colosseum,,,start.gg/socalcolosseum,socalfgcvods@gmail.com,ZiggyBoggy,,SocalFGCVods,,Active,2024.0118,2024.1212
Don's Arcade,USA,California,SoCal,Don's Arcade,"21329 Conradi Avenue, Torrance CA 90502",Weekly,Friday,Casuals,SSF2T,3S,VSav,MvC2,CvS2,SF6,Retro,Various,,,btran3s,,,,,,,,,,,Active,2024.0204,2024.0204
Side Step Saturday,USA,California,SoCal,Dxn Provisions,"215 S 1st Ave, Arcadia, CA 91006",Weekly,Saturday,Tournament,SF6,Tekken,,,,,,,,,BrandiniPC,,SoCal Tekken Locals,,,,,Dxn_Provisions,brandini_pc,,,Active,2024.0118,2024.0118
Extraordinaire Arcade,USA,California,SoCal,Extraordinaire Arcade,"2347 N Sierra Way, San Bernardino, CA 92405, USA",Monthly,Sunday,Tournament,SSBU,MK1,Tekken,SF6,,,,,,,Truegam3r,,,,,,truegamer951@gmail.com,,,,Games list rotates each month,Active,2024.0727,2024.0727
AnimeFightNight,USA,California,SoCal,Game Realms,"137 N Victory Blvd, Burbank, CA 91502",Monthly,Saturday,Tournament,GGST,GGXrd,GGXXACR,Skullgirls,GBVSR,UNI,Various,,,,Game_Realms,,Fighting Game Realms,,,,gamerealmsstoreburbank@gmail.com,GameRealms,,,,Active,2024.1213,2024.1213
DriveRushHour,USA,California,SoCal,Game Realms,"137 N Victory Blvd, Burbank, CA 91502",Every 2 Weeks,Friday,Tournament,SF6,Tekken,,,,,,,,,Game_Realms,,Fighting Game Realms,,,,gamerealmsstoreburbank@gmail.com,GameRealms,,,,Active,2024.0118,2024.1213
Calle de Joestar,USA,California,SoCal,Grails Gone Wild,"2140 Artesia Blvd, STE A, Torrance, CA 90504",Every 2 Weeks,Saturday,Tournament,SF6,,,,,,,,,,Jesus_Joestar,,,,,https://www.ggwcardsncollects.com/product/street-fighter-6/929,,,,,,Active,2024.0118,2024.0118
Game Lab Mega Monthly,USA,California,SoCal,Riverside Game Lab,"3633 Market St, Riverside, CA 92501",Monthly,Saturday,Tournament,GGST,UNI,GBVSR,MBTL,SF6,MK1,KOFXV,Tekken,Various,,PlusFramesGG,,PlusFramesGG,,,,,,,PlusFramesGG,"2nd to last Saturday & Sunday, 2-day event",Active,2024.0118,2024.0118
Game Lab Smash,USA,California,SoCal,Riverside Game Lab,"3633 Market Street, Riverside, CA 92501",Weekly,Friday,Tournament,SSBU,,,,,,,,,,OMF_Gaming,,,,,https://linktr.ee/omfgaming,,theBACKYARDSMASH,,,,Active,2024.0118,2024.0118
The Shop Showdowns,USA,California,SoCal,The shop DTP,"266 W 2nd St, Pomona, CA 91766",Weekly,Friday,Tournament,SSBU,SF6,MK1,Tekken,,,,,,,dtpomona,,THESHOPx3bitGames,,theshopx3bitgames ,,,,,,"Frequency is actually 3 times per month, check the links",Active,2024.0118,2024.0118
Tip the Scales,USA,California,SoCal,Zander's Gamehouse,"2270 Ventura Blvd, Camarillo, CA 93010",Weekly,Thursday,Tournament,SSBU,,,,,,,,,,DreamCGaming,,,,,Start.gg/TTS,,DreamCatcherGaming,,,,Active,2024.0118,2024.0118
Buttons on Wake-Up Monthly,USA,Colorado,Colorado Springs,Soft Landing Arcade,"6324 S U.S. Hwy 85 87, Fountain, CO 80817",Monthly,Saturday,Tournament,Tekken,SF6,GGST,GBVSR,Anime Etc,,,,,,Buttonsonwakeup,,,,,start.gg/bowumonthly,buttonsonwakeup@gmail.com,bowufgc,,Buttons On Wake-Up,,Active,2024.0118,2024.1212
Buttons on Wake-Up Weekly,USA,Colorado,Colorado Springs,Soft Landing Arcade,"6324 S U.S. Hwy 85 87, Fountain, CO 80817",Weekly,Wednesday,Tournament,Tekken,SF6,GGST,GBVSR,Anime Etc,,,,,,Buttonsonwakeup,,,,,start.gg/bowumonthly,buttonsonwakeup@gmail.com,bowufgc,,Buttons On Wake-Up,,Active,2024.0118,2024.1212
Capcom Mondays,USA,Colorado,Denver,Akihabara Arcade,"8901 N Harlan St, Westminster, CO 80031",Weekly,Monday,Casuals,SF6,3S,UMvC3,CvS2,,,,,,,MileHighBurst,,Co FGC Server,,,,,akihabaraarcade,akihabaraarcade2,Akihabara Arcade FGC,,Active,2024.0224,2024.0224
Mile High Burst,USA,Colorado,Denver,Akihabara Arcade,"8901 N Harlan St, Westminster, CO 80031",Every 2 Weeks,Sunday,Tournament,SF6,MK1,GGST,Various,,,,,,,MileHighBurst,,Co FGC Server,,,,,akihabaraarcade,akihabaraarcade2,Akihabara Arcade FGC,,Active,2024.0118,2024.0118
Tri-Calamity,USA,Colorado,Denver,Akihabara Arcade,"8901 N Harlan St, Westminster, CO 80031",Weekly,Wednesday,Tournament,UNI,MBTL,BBCF,Various,,,,,,,TriCalamity,,Co FGC Server,,,https://www.start.gg/hub/tri-calamity,Tri-Calamity@proton.me,akihabaraarcade,akihabaraarcade2,Melissa Meant It,,Active,2024.0118,2024.1212
Fire and Dice,USA,Connecticut,Bridgeport,Fire and Dice Games,"100 Hawley Ln, Trumbull, CT 06611",Weekly,Thursday,Casuals,SF6,Tekken,UMvC3,GGXrd,Various,,,,,,,,CT FGC,,,http://fireanddicegames.com,fireanddicegames@gmail.com,,,,Tournaments will happen for SF6 & T8 is there are enough people,Active,2024.0610,2024.0610
